Artist ID,Name,Genres,Followers,Popularity
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,indie pop,4252813,88
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,"conscious hip hop, hip hop, rap, west coast rap",35199421,97
3y2cIKLjiOlp1Np37WiUdH,Shaboozey,"modern country pop, pop rap",863160,81
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,pop,16270682,94
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"art pop, pop",103752739,96
2FXC3k01G6Gw61bmprjgqS,Hozier,"irish singer-songwriter, modern rock, pop, pov: indie",8172167,86
0NIIxcxNHmOoyBx03SfTCD,Tinashe,"alternative r&b, dance pop, metropopolis, pop, r&b",2894523,73
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,classic oklahoma country,5689301,90
25uiPmTg16RbhZWAqwLBy5,Charli xcx,"art pop, candy pop, metropopolis, pop, uk pop",4579259,87
163tK9Wjr9P9DmM0AVK7lm,Lorde,"art pop, metropopolis, nz pop, pop",10107715,78
5IWCU0V9evBlW4gIeGY4zF,Waxahatchee,"alabama indie, bubblegrunge, chamber pop, countrygaze, indie pop, indie rock",236526,57
4tK6Z8fK7Sc9133byjPGIT,MJ Lenderman,"asheville indie, countrygaze, slacker rock",73152,58
6vWDO969PvNqNYHIOW5v0m,Beyoncé,"pop, r&b",39186276,87
1RyvyyTE3xzB2ZywiAwp0i,Future,"atl hip hop, hip hop, rap, southern hip hop, trap",19606127,93
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,rap,9889382,90
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,"rap, slap house",35274360,94
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,"atl hip hop, plugg, pluggnb, rage rap, rap",12525175,90
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pop,101847447,95
7qrEXiLLnWkkYHhadZ1Oij,Blondshell,"bubblegrunge, indie pop",82751,49
34LdbFt5sVXKTJOzf1iExQ,Bully,"bubblegrunge, indie punk",95637,44
5KKpBU5eC2tJDzf0wmlRp2,RAYE,"uk contemporary r&b, uk pop",1843860,80
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"art pop, dance pop, pop",33312610,92
3l0CmX0FuQjFxr8SK7Vqag,Clairo,"bedroom pop, indie pop, pov: indie",5554851,82
7CvTknweLr9feJtRGrpDBy,FloyyMenor,reggaeton chileno,1237241,84
1Yj5Xey7kTwvZla8sqdsdE,Cris Mj,"mambo chileno, trap latino, urbano chileno, urbano latino",4569990,87
3eVa5w3URK5duf6eyVDbu9,ROSÉ,k-pop,8735466,89
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,"dance pop, pop",63889217,96
4gvjmrtzydbMpyJaXUtwvP,Addison Rae,social media pop,535846,75
24b0qNYNgeOfpP5rbljIB3,JADE,,170123,60
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,"houston rap, pop, rap, trap queen",10005064,83
246dkjvS1zLTtiykXe5h60,Post Malone,"dfw rap, melodic rap, pop, rap",46018956,90
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country,11321674,90
0VRj0yCOv2FXJNP47XQnx5,Quavo,"atl hip hop, melodic rap, rap, trap",7613313,81
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,"art pop, pop",42599329,92
2qoQgPAilErOKCwE2Y8wOG,GloRilla,southern hip hop,1482038,83
5jy9tglmQRLmTmcqz2qyUa,Eliza McLamb,gen z singer-songwriter,40384,38
6VR4TJ20WGiho2xZWMuuWb,Lambrini Girls,,36730,46
5a2w2tgpLwv26BYJf2qYwu,SOPHIE,"art pop, bubblegum bass, deconstructed club, escape room, hyperpop, proto-hyperpop, transpop",544479,58
3sXErEOw7EmO6Sj7EgjHdU,Hannah Diamond,"escape room, hyperpop, proto-hyperpop",111053,40
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,128001442,100
2R0CFyeMDiRbfkhkIMbyl1,Cash Cobain,jersey club,133964,65
3LZZPxNDGDFVSIPqf4JuEf,Ice Spice,bronx drill,4273186,75
0ShmUyGC785pMDaRdP5Sap,Bay Swag,,23612,54
6HvZYsbFfjnjFrWF950C9d,NewJeans,"k-pop, k-pop girl group",9749710,82
08PvCOlef4xdOr20jFSTPd,Flo Milli,viral rap,1306114,74
7tYKF4w9nC0nq9CsPZTHyP,SZA,"pop, r&b, rap",25040818,93
4kYSro6naA4h99UJvo89HB,Cardi B,"pop, rap",24777235,80
2IvkS5MXK0vPGnwyJsrEyV,Eric Church,"contemporary country, country, country road",3953833,72
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,pop,42042356,88
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,colombian pop,8221823,86
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,"corridos tumbados, sad sierreno",17978659,93
790FomKkXshlbRYZFtlgla,KAROL G,"reggaeton, reggaeton colombiano, urbano latino",52807336,91
3UtzOHYm3lQALkKzVD4wyO,Fcukers,,20650,47
4wXchxfTTggLtzkoUhO86Q,Soccer Mommy,"art pop, bubblegrunge, indie pop, indie rock, small room",395105,55
5RJFJWYgtgWktosLrUDzff,Griff,"alt z, uk pop",380680,69
7Ez6lTtSMjMf2YSYpukP1I,Dasha,,270139,76
3QTDHixorJelOLxoxcjqGx,SiR,"alternative r&b, la pop",1089801,67
3n8qeKQViV1waeCzZmS4Tx,Kim Gordon,"no wave, noise rock",85029,39
4ABuKdLlVyzLztIFR8ETX9,Lip Critic,digital hardcore,8623,29
2mqiqsaX4LzFnUP7PmHGAb,The Dare,,123294,60
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,trap queen,1621342,82
3a1tBryiczPAZpgoZN9Rzg,Asake,"afrobeats, nigerian pop",4779210,77
70kkdajctXSbqSMJbQO424,Kacey Musgraves,"classic texas country, contemporary country, country dawn",1513638,78
4wrzxtBZw20ufDstKyTnnP,Rachel Chinouriri,"indie pop, uk pop",229882,61
5KTykbPcDB4GYS49jcHbWh,Jessica Pratt,"ambient folk, art pop, freak folk",142465,60
0EmeFodog0BfCgMzAIvKQp,Shakira,"colombian pop, dance pop, latin pop, pop",35766327,88
3SXwqSqAoBz9WCI9PDQzY6,Fontaines D.C.,"crank wave, irish indie rock, irish post-punk",723882,73
23xFbA9rYgRX8mreqysWPc,BossMan Dlow,,487806,73
09kXLeOXRyfNQMXRaDO4qA,Nilüfer Yanya,"art pop, experimental pop, uk alternative pop",209096,57
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,alt z,3494975,90
2eIB6vFotL2su94z3pUC1j,Elvie Shane,modern country pop,40041,47
687cZJR45JO7jhk1LHIbgq,Tems,"afro r&b, afrobeats, alte, nigerian pop",2649350,78
3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap",94197417,96
7crPfGd2k81ekOoSqQKWWz,Stevie Nicks,heartland rock,1800331,66
66ihevNkSYNzRAl44dx6jJ,Carin Leon,"corrido, musica mexicana, sad sierreno, sierreno",14016083,87
3qnGvpP8Yth1AqSBMqON5x,Leon Bridges,"indie folk, modern blues, neo mellow, neo soul, soul",1766834,75
0NB5HROxc8dDBXpkIi1v3d,Remi Wolf,"indie pop, modern alternative pop",566041,67
1ZVACPeq7ccGCoUXwtafUU,KNEECAP,irish hip hop,143348,60
4E2rKHVDssGJm2SCDOMMJB,Doechii,alternative r&b,844432,78
5eYSqn4LCXLgIFYR4qOZ1k,TitoM,amapiano,215974,59
0M6k4Kgi5NiIDnafSKSLE0,Yuppe,,65324,58
16RKP7aw26uSkNpadpEgaF,S.N.E,,20579,57
4VqCBSJ9fvJ1XDQUd7K2Ft,EeQue,barcadi,40188,53
5L1lO4eRHmJ7a0Q6csE5cT,LISA,k-pop,9970402,82
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,"pop, r&b en espanol",8399264,80
35l9BRT7MXmM8bv2WDQiyB,beabadoobee,"bedroom pop, bubblegrunge, indie pop, pov: indie",4516579,82
6LqNN22kT3074XbTVUrhzX,Kesha,"dance pop, pop",8358470,81
3ZpEKRjHaHANcpk10u6Ntq,Ayra Starr,afrobeats,4018386,78
5krkohEVJYw0qoB5VWwxaC,The Black Crowes,"album rock, blues rock, classic rock, electric blues, hard rock, jam band, rock, southern rock",808963,60
5B7NeaqVrmXPyF05C9tnZ3,Christian Lee Hutson,"countrygaze, deep new americana",37901,42
2Ggj5XNlIb4Lnbqe307FyB,Lola Brooke,trap queen,270849,52
3KV3p5EY4AvKxOlhGHORLg,Jeremih,"chicago rap, pop rap, r&b, southern hip hop, trap, urban contemporary",6802919,76
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,"dance pop, pop, uk pop",45180340,88
41pd7r1XBRsvdxY3vHEgib,Wunderhorse,,118102,63
4ktfLBwmywJsDFeBsce3F6,Linda Thompson,british folk,11644,26
1z98aCtgTzyUkAHR50ryFN,Teddy Thompson,alternative country,20793,36
3tVQdUvClmAT7URs9V3rsp,Wizkid,"afrobeats, afropop, azonto, nigerian hip hop, nigerian pop",6613402,84
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,"r&b, rap",6857011,86
3ztRX1UoIOsFqpD7dB6R8O,illuminati hotties,bubblegrunge,76308,43
5fTJlk4f1YRh4ObYssJo44,Silverada,"classic texas country, red dirt, roots americana",43329,44
29XOeO6KIWxGthejQqn793,Flying Lotus,"afrofuturism, alternative hip hop, electronica, escape room, experimental hip hop, glitch, glitch hop, indietronica, instrumental hip hop, intelligent dance music, jazztronica, psychedelic hip hop, wonky",798217,56
0Ve1sk7tcGsb7ZVsp4o8GG,The Softies,"sacramento indie, tape club, twee pop",23419,36
4FGPzWzgjURDNT7JQ8pYgH,Zach Top,modern country pop,338541,74
7mWF9KLJnw7RBibAnNOSB9,Original Cast of Stereophonic,,1273,34
2rjaQ9SW19AqHuD5d8vyJz,Tom Pecinka,,40,34
5J7cdiHUhj1czoAsBFG4dd,Will Brill,,103,33
6Q2PaUxhasOg5BZWUDvWAK,Juliana Canfield,,61,34
5CHHfbhxEXG1z77bbj4ila,Sarah Pidgeon,,144,34
3fE1pLoa2o2aejSTzBc9ag,Chris Stack,,29,33
1POwuKLQ9xhMZzIYElNtWp,Will Butler,,27844,35
7vEryrK6GxnOKI3sGyPjHN,Justin Craig,,7,33
4aej3kKLxSLM0WauTSfZ7k,Abby Sage,modern indie pop,30112,50
66lH4jAE7pqPlOlzUKbwA0,Miranda Lambert,"contemporary country, country, country dawn, country road",3629680,69
0jPHHnU8GUWEF7rwPE9osY,Jordan Adetunji,irish hip hop,217860,72
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,"pop, r&b, rap",7997617,77
1oPRcJUkloHaRLYx0olBLJ,Magdalena Bay,la pop,332291,69
11zHPjHnZN0ACA50rSnTcy,Nada Surf,power pop,198280,51
4nVa6XlBFlIkF6msW57PHp,Hanumankind,"desi hip hop, indian underground rap, malayalam hip hop",550392,72
6tYCSHLtTI54AQJFOMfU45,Kalmi,,38569,71
7mnBLXK823vNxN3UWB7Gfz,The Black Keys,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock",4065908,73
5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN,"anime, k-pop boy group",10535672,82
335TWGWGFan4vaacJzSiU8,A. G. Cook,"bubblegum bass, escape room, hyperpop, proto-hyperpop",170417,60
7iK8PXO48WeuP03g8YR51W,Myke Towers,"reggaeton, trap latino, urbano latino",17652497,90
4q3ewBCX7sLwd24euuV69X,Bad Bunny,"reggaeton, trap latino, urbano latino",87762225,96
22wbnEMDvgVIAGdFeek6ET,Benson Boone,singer-songwriter pop,4104276,85
