Track ID,Track Name,Popularity,Album,Release Date,Duration (ms),Artist,Explicit
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",93,"Good Luck, Babe!",2024-04-05,218423,Chappell Roan,False
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,88,Not Like Us,2024-05-04,274192,Kendrick Lamar,True
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),86,A Bar Song (Tipsy),2024-04-12,171291,Shaboozey,True
2HRqTpkrJO5ggZyyK6NPWz,Espresso,88,Short n' Sweet,2024-08-23,175459,Sabrina Carpenter,True
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,96,HIT ME HARD AND SOFT,2024-05-17,210373,Billie Eilish,False
76JKIsdKrAfWUMjaA0u7v5,Too Sweet,78,Unreal Unearth: Unaired,2024-08-19,251424,Hozier,False
6NjWCIYu1W8xa3HIvcIhd4,Nasty,73,Nasty,2024-04-12,176027,Tinashe,False
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,84,Pink Skies,2024-05-24,194920,Zach Bryan,False
7srqyRb5plksW5k65itXDB,"Girl, so confusing featuring lorde",69,Brat and it’s completely different but also still brat,2024-10-11,205938,Charli xcx,False
17Zzi8qsn8mdm0t0JTGeQo,Right Back to It,58,Tigers Blood,2024-03-22,273026,Waxahatchee,False
0K9tfzrxJyCQIf7oAlPwaK,YA YA,62,COWBOY CARTER,2024-03-29,274766,Beyoncé,True
28drn6tQo95MRvO0jQEo5C,Type Shit,83,WE DON'T TRUST YOU,2024-03-22,228266,Future,True
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),86,eternal sunshine,2024-03-08,228639,Ariana Grande,False
3NfastUCFxLepBhv7UGSqR,Docket (feat. Bully),48,Docket (feat. Bully),2024-03-26,210493,Blondshell,False
77DRzu7ERs0TX3roZcre7Q,euphoria,78,euphoria,2024-04-30,383639,Kendrick Lamar,True
7CJhEUFMNrUWSwcOAqTzPT,Genesis.,59,Genesis.,2024-06-07,420000,RAYE,True
19KlZwqlT3fguP2BeHF1Q1,Disease,84,Disease,2024-10-25,229997,Lady Gaga,False
2mWfVxEo4xZYDaz0v7hYrN,Juna,79,Charm,2024-07-12,195109,Clairo,False
5G2f63n7IPVPPjfNIGih7Q,Taste,92,Short n' Sweet,2024-08-23,157279,Sabrina Carpenter,False
6XjDF6nds4DE2BBbagZol6,Gata Only,86,Gata Only,2024-02-02,222000,FloyyMenor,True
5vNRhkKd0yEAg8suGBpjeY,APT.,98,APT.,2024-10-18,169917,ROSÉ,False
6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,86,Diet Pepsi,2024-08-09,169697,Addison Rae,False
46cW6zufU9Woo11TLs2i6X,Angel Of My Dreams,68,Angel Of My Dreams,2024-07-19,197639,JADE,False
4hJ5jWbqstdYt555NhdtNk,She's Leaving You,55,Manning Fireworks,2024-09-06,278226,MJ Lenderman,False
79AHPJd8upvNxyK2qQcY8J,HISS,62,HISS,2024-01-26,192818,Megan Thee Stallion,True
3Y1EvIgEVw51XtgNEgpz5c,Von dutch,74,BRAT,2024-06-07,164284,Charli xcx,True
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),83,F-1 Trillion,2024-08-15,178205,Post Malone,True
22DH8NChecsgPxDjA4pqer,Tough,77,Tough,2024-07-03,188828,Quavo,False
31TVho4kOuAeRmLYGIEuWn,TGIF,74,GLORIOUS,2024-10-11,164571,GloRilla,True
033ZaceOzIAFXh6U7YdNqu,Modern Woman,28,Going Through It,2024-01-19,249627,Eliza McLamb,True
4fVNq2mSVupgHjcrVySEEx,Company Culture,43,Company Culture,2024-09-17,182066,Lambrini Girls,True
4nZSaYyR4zXERWxRg0qlXG,Always and Forever (feat. Hannah Diamond),30,SOPHIE,2024-09-25,290127,SOPHIE,False
18WFFUIsewmA8g31KAeo3e,The Prophecy,76,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,249807,Taylor Swift,False
1rrV4ymf3Tp3xuLgB4zCRN,Fisherrr - Remix,57,Fisherrr (Remix),2024-04-26,235354,Cash Cobain,True
38tXZcL1gZRfbqfOG0VMTH,How Sweet,77,How Sweet,2024-05-24,219026,NewJeans,False
0i1bokCJ95evU1gb5HcXFy,Never Lose Me (feat. SZA & Cardi B),65,"Fine Ho, Stay",2024-03-15,165754,Flo Milli,True
3M7Cq1R8cylsGzNEb6QBMU,Darkest Hour (Helene Edit),49,Darkest Hour (Helene Edit),2024-10-04,247733,Eric Church,False
6tNgRQ0K2NYZ0Rb9l9DzL8,obsessed,76,GUTS (spilled),2024-03-22,170541,Olivia Rodrigo,True
6XaJfhwof7qIgbbXO5tIQI,Igual Que Un Ángel (with Peso Pluma),75,ORQUÍDEAS,2024-01-12,260370,Kali Uchis,False
7pDfRnoEDRkcz7bQsOjnPc,Enough (Miami),64,Enough (Miami),2024-03-15,158727,Cardi B,True
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,92,Si Antes Te Hubiera Conocido,2024-06-21,195824,KAROL G,False
4Dr5pBJktWX8aZckCznE6q,Bon Bon,51,Bon Bon,2024-05-07,210133,Fcukers,True
7n8Q0KwanjDMOiqejTb8lI,Driver,47,Evergreen,2024-10-25,252266,Soccer Mommy,False
6SBft75urQ5L2oyqlGbEVe,Anything,57,Vertigo,2024-07-12,188286,Griff,False
1bjeWoagtHmUKputLVyDxQ,Saturn,85,Saturn,2024-02-22,186191,SZA,False
2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),86,What Happens Now?,2024-02-16,171782,Dasha,True
7aRGPcaJTM9l1jsGX0vzkV,TRYIN' MY HARDEST,35,HEAVY,2024-03-22,168648,SiR,False
3b34EvMAFHcdRBujeo9e6t,BYE BYE,42,The Collective,2024-03-08,254000,Kim Gordon,False
5tLngXCEFm1wmyj345TrfB,In The Wawa (Convinced I Am God),25,Hex Dealer,2024-05-17,139234,Lip Critic,False
1KZbyrBgUnTRBK0SLXVV0m,Perfume,53,What's Wrong With New York?,2024-09-06,147101,The Dare,False
6UmKnXmG7VmYqFnmSPOfRj,Get It Sexyy,72,In Sexyy We Trust,2024-05-24,148551,Sexyy Red,True
2TOk5OzW5sL83ndKYZJmU7,Active,64,Active,2024-08-06,172597,Asake,True
2rLq6QIfooAKsF8UZuoLsS,Cardinal,57,Deeper Well,2024-03-15,191413,Kacey Musgraves,False
2gWY1fvwvKPQFFoahY4p3v,Never Need Me,58,What A Devastating Turn of Events,2024-05-03,205431,Rachel Chinouriri,False
06uOV6fQr0khY0LzYcy4w0,World on a String,41,Here in the Pitch,2024-05-03,189640,Jessica Pratt,False
40Ccxt7rKCXiViGQKPPACR,Cómo Dónde y Cuándo,55,Las Mujeres Ya No Lloran,2024-03-22,179000,Shakira,False
09ttHg3ZNVgDlYBZa1ZBw0,Starburster,70,Romance,2024-08-23,221450,Fontaines D.C.,True
6bryx7HyB4lVDc0KQXuoJ0,Get In With Me,65,Mr Beat The Road,2024-03-15,120792,BossMan Dlow,True
7f57Tz3uydJkSuVsQ7sj4l,Like I Say (I runaway),56,My Method Actor,2024-09-13,177475,Nilüfer Yanya,True
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",89,The Secret of Us,2024-06-21,157146,Gracie Abrams,True
4aO74pDpq2SGvJzh041XcN,215634,17,Damascus,2024-04-19,278737,Elvie Shane,False
1eDI5oU04SLsXl0TfxfwYf,Love Me JeJe,71,Born in the Wild,2024-06-06,178041,Tems,False
1wFFFzJ5EsKbBWZriAcubN,Family Matters,71,Family Matters,2024-05-03,456933,Drake,True
6KzCUv4TwlnFhej36ef5MR,The Lighthouse,47,The Lighthouse,2024-09-27,291200,Stevie Nicks,False
2SmXed2QmKo2esYa86oQRV,It was always you (Siempre fuiste tú),54,"Boca Chueca, Vol. 1",2024-05-30,209493,Carin Leon,True
1Wi1XpdZzGVIdRTzlTrIEF,Soup,64,Big Ideas,2024-07-12,213116,Remi Wolf,False
3RFpr9aR7pBAFJ1XQnuThq,Fine Art,54,Fine Art,2024-06-14,139283,KNEECAP,True
1eTaznNW4Xxtx9za2SMTXB,DENIAL IS A RIVER,72,Alligator Bites Never Heal,2024-08-30,159586,Doechii,True
54seQV7MCcppBrznALCdlT,"Tshwala Bam (feat. S.N.E, EeQue)",61,"Tshwala Bam (feat. S.N.E, EeQue)",2024-02-23,390000,TitoM,False
7ov3TDp5D00Rnu5R1viX4w,New Woman (feat. ROSALÍA),83,New Woman (feat. ROSALÍA),2024-08-15,179789,LISA,False
1a19jsjG2DvbN1fVJonKUU,Beaches,68,This Is How Tomorrow Moves,2024-08-09,230053,beabadoobee,False
5oOZGQnZZToIHI55lw2E97,JOYRIDE,73,JOYRIDE,2024-07-04,150000,Kesha,True
2Q2QZJlhGcGPV1XAdvcqob,Lagos Love Story,46,The Year I Turned 21,2024-05-30,155695,Ayra Starr,False
4OiL5M05HmrnBk1AOdHNe0,Wanting and Waiting,41,Happiness Bastards,2024-03-15,255560,The Black Crowes,False
45ZAsEXNqxpB7krlsLvddC,Carousel Horses,40,Paradise Pop. 10,2024-09-27,276946,Christian Lee Hutson,False
5zr6snM3WQRoYC0QfnD9n7,No One Else (feat. Jeremih),53,No One Else (feat. Jeremih),2024-09-06,162240,Lola Brooke,True
5b5cPscqVEMChvDqscVw26,Training Season,79,Radical Optimism,2024-05-03,209487,Dua Lipa,False
2FhyTzw49NtYw29JEFvdu2,Midas,61,Midas,2024-04-10,138640,Wunderhorse,False
4UURvjworrbU2SfxPjUfg8,Those Damn Roches,9,Proxy Music,2024-06-21,253198,Linda Thompson,False
2nYeyMeqYDiFSYYtl2BWD6,Piece of My Heart (feat. Brent Faiyaz),73,Piece of My Heart (feat. Brent Faiyaz),2024-10-18,259354,Wizkid,False
00UZIRaEhmxxTvmoacqLPA,Can't Be Still,34,POWER,2024-08-23,178933,illuminati hotties,False
2UMm2RwGN3bwb5LBJ4rdU0,Radio Wave,24,Silverada,2024-06-28,350894,Silverada,False
10phfjSAnxRUxbdlrPdarb,Ajhussi,41,Spirit Box,2024-10-29,262377,Flying Lotus,False
0KSMQIZc1zs5syBn4dtMSj,California Highway 99,21,The Bed I Made,2024-08-23,143266,The Softies,False
4eGwcJ946Oj7scyzdlaFCD,Use Me,68,Cold Beer & Country Music,2024-04-05,236744,Zach Top,False
5FgQYIHI30oIUeJrInyXDq,Masquerade,35,Stereophonic (Original Cast Recording),2024-05-10,235720,Original Cast of Stereophonic,False
2h2KXOHb1iYjSXvq7hQTEc,Milk,41,The Rot,2024-03-01,193276,Abby Sage,False
1GUvNctSDGXpo7S3H3uxpT,Dammit Randy,43,Dammit Randy,2024-06-28,179559,Miranda Lambert,False
5Nt2FMqnKI2mlp7lztURNo,KEHLANI (REMIX) [feat. Kehlani],73,KEHLANI (REMIX) [feat. Kehlani],2024-06-20,179974,Jordan Adetunji,True
05viacwP18vZkQozDwS5kN,That's My Floor,57,Imaginal Disk,2024-08-23,209800,Magdalena Bay,False
61b1igoHonfia3nw6qcfJJ,In Front of Me Now,37,Moon Mirror,2024-09-13,221506,Nada Surf,False
0OA00aPt3BV10qeMIs3meW,Big Dawgs,84,Big Dawgs,2024-07-09,190666,Hanumankind,True
4c7iXNRiy72rMXfRTR9V0V,On The Game,47,Ohio Players,2024-04-05,242838,The Black Keys,False
4ChomJf8z16E6Zw4EoioYY,After Hours,67,CRASH,2024-06-20,202414,Kehlani,False
3RkSwrsIadAvqVtMp5yhaB,XO (Only If You Say Yes),75,ROMANCE : UNTOLD,2024-07-12,188332,ENHYPEN,False
6yYnmUYPdTM2ExnJpBKMOT,Britpop,45,Britpop,2024-05-10,202055,A. G. Cook,False
0LZy30mVmxqUpdQmaXKXBd,ADIVINO,76,ADIVINO,2024-04-25,278644,Myke Towers,True
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,88,Fireworks & Rollerblades,2024-04-05,180304,Benson Boone,False
